Tiempo,Carga,Extensión de tracción
(s),(N),(mm)
18.8,7540.22705,0.04386
18.9,7567.82227,0.04409
19,7597.64404,0.04431
19.1,7628.35693,0.04452
19.2,7658.56348,0.04474
19.3,7687.6001,0.04497
19.4,7715.00146,0.04515
19.5,7743.63477,0.04538
19.6,7775.19287,0.04569
19.7,7804.8374,0.04589
19.8,7834.29248,0.04615
19.9,7863.21387,0.04643
20,7891.01758,0.04669
20.1,7921.16846,0.04688
20.2,7951.10205,0.04722
20.3,7981.07227,0.04743
20.4,8009.81543,0.0477
20.5,8037.64453,0.04803
20.6,8067.15674,0.04833
20.7,8096.74609,0.04865
20.8,8126.67334,0.04886
20.9,8155.8501,0.04915
21,8183.55225,0.04946
21.1,8211.55566,0.04979
21.2,8241.49902,0.05011
21.3,8271.94531,0.05044
21.4,8300.58105,0.05077
21.5,8328.32227,0.05111
21.6,8355.97949,0.05147
21.7,8384.3623,0.05187
21.8,8414.36426,0.05223
21.9,8444.03418,0.05263
22,8471.51953,0.05304
22.1,8498.66211,0.05338
22.2,8526.99219,0.05384
22.3,8555.03516,0.0542
22.4,8584.39355,0.05463
22.5,8613.41895,0.05508
22.6,8641.11523,0.05558
22.7,8667.55371,0.056
22.8,8695.97656,0.05647
22.9,8724.06348,0.05701
23,8753.06641,0.05748
23.1,8780.41016,0.05807
23.2,8806.09082,0.05856
23.3,8832.53906,0.05923
23.4,8859.60352,0.05984
23.5,8887.47754,0.06039
23.6,8914.31641,0.0612
23.7,8939.51953,0.06178
23.8,8964.58887,0.06256
23.9,8990.40918,0.06331
24,9016.87012,0.06407
24.1,9043.08984,0.06497
24.2,9066.94238,0.06581
24.3,9090.76367,0.06669
24.4,9114.97852,0.06775
24.5,9140.23828,0.06879
24.6,9164.56445,0.06987
24.7,9188.01367,0.07093
24.8,9210.42188,0.0721
24.9,9231.52148,0.07323
25,9254.11328,0.07459
25.1,9276.45605,0.07584
25.2,9297.98438,0.07723
25.3,9318.63379,0.07862
25.4,9338.95215,0.08009
25.5,9358.47461,0.08161
25.6,9378.87891,0.08307
25.7,9399.31836,0.08471
25.8,9418.93848,0.08644
25.9,9436.69043,0.08816
26,9454.04688,0.09006
26.1,9472.40527,0.09173
26.2,9491.11719,0.09359
26.3,9508.95312,0.09559
26.4,9525.02441,0.09761
26.5,9540.5166,0.09968
26.6,9556.14844,0.10195
26.7,9573.0957,0.10408
26.8,9589.81641,0.10634
26.9,9605.31445,0.10864
27,9619.66602,0.11085
27.1,9633.88086,0.11328
27.2,9648.61523,0.11588
27.3,9664.00488,0.11841
27.4,9678.64258,0.12089
27.5,9692.75195,0.12335
27.6,9706.29102,0.12578
27.7,9719.48047,0.12855
27.8,9733.17578,0.13123
27.9,9747.09961,0.13412
28,9760.46484,0.13667
28.1,9773.17676,0.13931
28.2,9785.56152,0.142
28.3,9798.11523,0.14486
28.4,9811.46094,0.1476
28.5,9824.27246,0.15041
28.6,9836.82324,0.15314
28.7,9848.09277,0.15593
28.8,9860.28809,0.15877
28.9,9875.37793,0.16166
29,9889.4541,0.16466
29.1,9902.01172,0.16754
29.2,9912.94141,0.17043
